name,category,rating,reviews,address,phone,website,latitude,longitude,url,source,query,scraped_at
Institute of Philosophy,university,,,,+380 44 278 0605,https://www.filosof.com.ua/,50.4546608,30.524272,https://www.openstreetmap.org/node/305560878,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
International Center for electron Beam technologies,university,,,,,,50.4276129,30.5134936,https://www.openstreetmap.org/node/835201514,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Центр трансферу технологій,university,,,,,,50.4277168,30.5133461,https://www.openstreetmap.org/node/1650205466,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Кафедра офтальмології,university,,,,,https://www.nmapo.edu.ua/,50.4355652,30.4145299,https://www.openstreetmap.org/node/3183949083,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Національний юридичний університет імені Ярослава Мудрого,university,,,,+380444578538,,50.4493211,30.4456488,https://www.openstreetmap.org/node/3721302943,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
I. I. Schmalhausen Institute of Zoology,university,,,"вулиця Богдана Хмельницького 15, 01030",,http://www.izan.kiev.ua,50.4451426,30.5149349,https://www.openstreetmap.org/node/4266240030,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Інститут рибного господарства НАН України,university,,,,,,50.4648337,30.3272309,https://www.openstreetmap.org/node/4268802894,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
ТНУ ім. В.І Вернадського,university,,,вулиця Електриків 26/8,,,50.4750027,30.5262642,https://www.openstreetmap.org/node/6025822022,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Кафедра дерматології та венерології,university,,,,,,50.4398051,30.5019349,https://www.openstreetmap.org/node/6810792453,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Faculty of Psychology of KNU,university,,,,+380 44 521 3509,https://www.psy.univ.kiev.ua/ua/,50.3823537,30.4751652,https://www.openstreetmap.org/node/7727873546,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Borys Grinchenko Kyiv University Administration,university,,,,,https://kubg.edu.ua,50.4527301,30.501585,https://www.openstreetmap.org/node/8639419244,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Факультет інформаційних технологій,university,,,,,,50.455552,30.4738437,https://www.openstreetmap.org/node/8762077019,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Кафедра геоінформатики,university,,,Васильківська вулиця,,,50.3874632,30.4803098,https://www.openstreetmap.org/node/9190158392,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київський економічний інститут менеджменту,university,,,,,,50.4509719,30.4459919,https://www.openstreetmap.org/node/9978432032,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
American University,university,,,Поштова площа 3,,https://auk.edu.ua,50.4593017,30.5269403,https://www.openstreetmap.org/node/11117031229,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Кафедра біотехніки та біотехнологій Київського Політехнічного Інституту ім. Ігоря Сікорського,university,,,,,https://bioengineering.kpi.ua/ua/,50.4507676,30.4538344,https://www.openstreetmap.org/node/12183109901,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київська школа економіки,university,,,Оболонська набережна 20,,,50.5006946,30.5212636,https://www.openstreetmap.org/way/23857989,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Institute of Mathematics of the National Academy of Sciences of Ukraine,university,,,Терещенківська вулиця 3,,,50.4443672,30.5160872,https://www.openstreetmap.org/way/27829819,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Faculty of Physics,university,,,проспект Академіка Глушкова 4,,http://www.phys.univ.kiev.ua,50.3809944,30.4722994,https://www.openstreetmap.org/way/29050036,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
"ТНУ імені В.І. Вернадського. Навчально-науковий інститут управління, економіки та природокористування (ННІУЕІП)",university,,,"Кирилівська вулиця 164, 04073",+380 44 468 8042,https://tnu.edu.ua/,50.4952115,30.4601609,https://www.openstreetmap.org/way/31767124,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
